Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Fabric with Leather Trim Zip Travel Pouch - 13008,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-hand-painted-fabric-zip-travel-pouch-13008-sea,What’s your go-to mood on weekends?,Relaxing with nature,Savannah Spirit,Partying in the city,Boho Spirit,Exploring something new,Leopard Luxe,Staying cozy at home,Leopard Luxe
Three Fold RFID Clutch - 1774,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/summer-evening/products/leather-three-fold-rfid-clutch-1774-sev,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,City Lights,An elephant with a lotus 🐘,Paisley Muse,A guardian dog 🐕,City Lights,A mystical owl 🦉,Tropical Breeze
Organizer Crossbody - 7590,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/summer-evening/products/leather-organizer-crossbody-7590-sev,Which wild animal do you relate to most?,Leopard,Mystic Mosaic,Lion,Caribbean Dreamer,Deer,Winged Serenity,Wolf,City Lights
Large Tote - 7583,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/summer-evening/products/leather-large-tote-7583-sev,"If you had wings, how would you use them?",To glide peacefully above nature,Metamorph Muse,To explore galaxies beyond Earth,Flutter Charm,To dance among flowers in freedom,Gentle Guardian,To transform and start anew,Mystic Mosaic
Two Fold Wallet - 1752,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/summer-evening/products/leather-two-fold-wallet-1752-sev,Which bag style attracts you most?,Sleek and modern,Wolf Moon,Antique leather satchel,Savannah Spirit,Funky retro prints,Caribbean Dreamer,Edgy futuristic designs,Savannah Spirit
Eye Glass Pouch - 2040,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/sunflowers/products/leather-eye-glass-pouch-2040-sfl,Your favorite city vibe is:,Futuristic and visionary,Dreamscape Urbanite,Classic old,Caribbean Dreamer,Trendy and nostalgic,Roaring Majesty,Modern city nightlife,Tropical Breeze
Two-Fold Organizer Wallet - 2086,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/sunflowers/products/leather-two-fold-organizer-wallet-2086-sfl,"If your personality was a painting, it would be:",Bold and expressive abstract,Petal Muse,Geometric and structured mosaic,Mystic Mosaic,Free,Sacred Elephant,Delicate and detailed paisley,Crimson Blossom
Medium Tote - 7603,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/sunflowers/products/leather-medium-tote-7603-sfl,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Color Mirage,An elephant with a lotus 🐘,Petal Muse,A guardian dog 🐕,Roaring Majesty,A mystical owl 🦉,City Lights
Small Shopper - 677,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/art-swan-song/products/leather-medium-shopper-677-sws,Which element resonates with your soul?,Air,Ethereal Bloom,Light,Angel Aura,Movement,Playful Paws,Growth,Wilderness Whisper
Expandable Shopper Tote - 712,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-expandable-shopper-tote-712-tae-cop,Which element resonates with your soul?,Air,City Lights,Light,Earth Song,Movement,Playful Paws,Growth,Metamorph Muse
Expandable Travel Crossbody - 550,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-expandable-travel-crossbody-550-tae-cop,"If you had wings, how would you use them?",To glide peacefully above nature,Dreamscape Urbanite,To explore galaxies beyond Earth,Winged Serenity,To dance among flowers in freedom,Angel Aura,To transform and start anew,Color Mirage
Multi Purpose Zip Pouch - 1182,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-multi-purpose-zip-pouch-1182-tae-cop,What quality do you value most?,Protection and care,Wilderness Whisper,Wisdom and calmness,Boho Spirit,Playfulness and joy,Roaring Majesty,Strength with compassion,Wolf Moon
Two Fold French Wallet - 1181,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-two-fold-french-wallet-1181-tae-cop,"If your personality was a painting, it would be:",Bold and expressive abstract,Crimson Blossom,Geometric and structured mosaic,Mystic Mosaic,Free,Playful Paws,Delicate and detailed paisley,Color Mirage
Zip-Top Shoulder Hobo - 707,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-zip-top-shoulder-hobo-707-tae-cop,Pick a season you love most:,Spring 🌸,Caribbean Dreamer,Summer 🌞,Dreamscape Urbanite,Autumn 🍂,Ethereal Bloom,Winter ❄️,Celestial Wings
Accordion Style Credit And Business Card Holder - 2083,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/tooled-birds-peach/products/leather-accordion-style-credit-and-business-card-holder-2083-tbr-pch,Your dream vacation spot is:,A tropical island 🏝️,Camellia Grace,Caribbean beaches 🏖️,Petal Muse,A quiet ocean cliff 🌊,Retro Muse,A deep forest retreat 🌿,Dreamscape Urbanite
Satchel Bag - 7614,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tooled-birds-peach/products/leather-satchel-bag-7614-tbr-pch,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Tropical Breeze,An elephant with a lotus 🐘,Ocean Mist,A guardian dog 🐕,Earth Song,A mystical owl 🦉,Petal Muse
Accordion Flap Wallet - 1112,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-accordion-flap-wallet-1112-tbr-sky,What’s your go-to mood on weekends?,Relaxing with nature,Winged Serenity,Partying in the city,Mystic Mosaic,Exploring something new,Color Mirage,Staying cozy at home,Metamorph Muse
Crossbody Phone Case - 1173,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-crossbody-phone-case-1173-tbr-sky,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Celestial Wings,An elephant with a lotus 🐘,Savannah Spirit,A guardian dog 🐕,Mystic Mosaic,A mystical owl 🦉,Savannah Spirit
Crossbody With Front Zip Organizer - 651,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-crossbody-with-front-zip-organizer-651-tbr-sky,What’s your go-to mood on weekends?,Relaxing with nature,Paisley Muse,Partying in the city,Ethereal Bloom,Exploring something new,Paisley Muse,Staying cozy at home,Playful Paws
Medium Zip Pouch - 1107,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-medium-zip-pouch-1107-tbr-sky,What quality do you value most?,Protection and care,Dreamscape Urbanite,Wisdom and calmness,Winged Serenity,Playfulness and joy,Playful Paws,Strength with compassion,Flutter Charm
Zip-Top Shoulder Hobo - 709,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-zip-top-shoulder-hobo-709-tbr-sky,"If your personality was a painting, it would be:",Bold and expressive abstract,Caribbean Dreamer,Geometric and structured mosaic,Ethereal Bloom,Free,Enchanted Rose,Delicate and detailed paisley,Ocean Mist
Multi Compartment Satchel - 690,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-multi-compartment-satchel-690-tbr-sky,"If you had wings, how would you use them?",To glide peacefully above nature,Gentle Guardian,To explore galaxies beyond Earth,Gentle Guardian,To dance among flowers in freedom,Sacred Elephant,To transform and start anew,Metamorph Muse
Medium Crossbody With Double Zip Pockets - 447,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-medium-crossbody-with-double-zip-pockets-447-tbr-sky,"If you had wings, how would you use them?",To glide peacefully above nature,Celestial Wings,To explore galaxies beyond Earth,Flutter Charm,To dance among flowers in freedom,Paisley Muse,To transform and start anew,Caribbean Dreamer
Accordion Flap Wallet - 1112,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-accordion-flap-wallet-1112-tbr-tan,Pick a season you love most:,Spring 🌸,Ocean Mist,Summer 🌞,Angel Aura,Autumn 🍂,Wilderness Whisper,Winter ❄️,Roaring Majesty
Medium Zip Pouch - 1107,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-medium-zip-pouch-1107-tbr-tan,"If you had wings, how would you use them?",To glide peacefully above nature,Earth Song,To explore galaxies beyond Earth,Paisley Muse,To dance among flowers in freedom,Boho Spirit,To transform and start anew,Color Mirage
Zip-Top Shoulder Hobo - 709,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-zip-top-shoulder-hobo-709-tbr-tan,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Metamorph Muse,Bold and fiery rose prints,Earth Song,Soft watercolor blossoms,Wilderness Whisper,Dark romantic florals,Enchanted Rose
Multi Compartment Satchel - 690,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/tooled-birds-tan/products/multi-compartment-satchel-690-tbr-tan,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Gentle Guardian,An elephant with a lotus 🐘,Winged Serenity,A guardian dog 🐕,Roaring Majesty,A mystical owl 🦉,Sacred Elephant
Medium Crossbody With Double Zip Pockets - 447,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-medium-crossbody-with-double-zip-pockets-447-tbr-tan,Which scenery feels most calming to you?,A blooming spring garden 🌷,Ethereal Bloom,A field of wild roses under sunset 🌹,Enchanted Rose,A misty meadow with dew,Angel Aura,A vintage botanical greenhouse 🌼,Color Mirage
Accordion Flap Wallet - 1174,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-accordion-flap-wallet-1174-tbf-jad,"If you had wings, how would you use them?",To glide peacefully above nature,Leopard Luxe,To explore galaxies beyond Earth,City Lights,To dance among flowers in freedom,Crimson Blossom,To transform and start anew,Sacred Elephant
Flap Crossbody - 694,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-flap-crossbody-694-tbf-jad,"If you had wings, how would you use them?",To glide peacefully above nature,Ethereal Bloom,To explore galaxies beyond Earth,Roaring Majesty,To dance among flowers in freedom,Crimson Blossom,To transform and start anew,Sacred Elephant
Medium Tote - 693,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-medium-tote-693-tbf-jad,"If your personality was a painting, it would be:",Bold and expressive abstract,Roaring Majesty,Geometric and structured mosaic,Retro Muse,Free,Paisley Muse,Delicate and detailed paisley,Leopard Luxe
Classic Hobo With Studded Side Pockets - 433,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-hand-painted-classic-mini-stidded-side-pockets-433-tbf-mlt,"If your personality was a painting, it would be:",Bold and expressive abstract,Roaring Majesty,Geometric and structured mosaic,Savannah Spirit,Free,Savannah Spirit,Delicate and detailed paisley,Gentle Guardian
Painted Leather Cuff - 1176,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-adjustable-leather-wrist-band-1176-tbf-mlt,Pick a season you love most:,Spring 🌸,Celestial Wings,Summer 🌞,Vintage Charm,Autumn 🍂,Retro Muse,Winter ❄️,Flutter Charm
Accordion Flap Wallet - 1174,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-accordion-flap-wallet-1174-tbf-mlt,What’s your go-to mood on weekends?,Relaxing with nature,Ocean Mist,Partying in the city,Wilderness Whisper,Exploring something new,Vintage Charm,Staying cozy at home,Wilderness Whisper
Flap Crossbody - 694,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-flap-crossbody-694-tbf-mlt,Which art style inspires you most?,Colorful splashes,Camellia Grace,Intricate mosaics,Sacred Elephant,Bohemian patterns,Wolf Moon,Elegant paisleys,Petal Muse
Medium Tote - 693,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-medium-tote-693-tbf-mlt,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Ocean Mist,Bold and fiery rose prints,Petal Muse,Soft watercolor blossoms,Sacred Elephant,Dark romantic florals,Flutter Charm
Classic Hobo With Studded Side Pockets - 433,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-hand-painted-classic-mini-stidded-side-pockets-433-tbf-ocn,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Crimson Blossom,An elephant with a lotus 🐘,Wilderness Whisper,A guardian dog 🐕,Leopard Luxe,A mystical owl 🦉,Retro Muse
Round Coin Purse - 1175,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-round-coin-purse-1175-tbf-ocn,Your dream vacation spot is:,A tropical island 🏝️,Boho Spirit,Caribbean beaches 🏖️,Wilderness Whisper,A quiet ocean cliff 🌊,Celestial Wings,A deep forest retreat 🌿,Camellia Grace
Accordion Flap Wallet - 1174,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-accordion-flap-wallet-1174-tbf-ocn,What quality do you value most?,Protection and care,Savannah Spirit,Wisdom and calmness,Color Mirage,Playfulness and joy,Flutter Charm,Strength with compassion,Petal Muse
Flap Crossbody - 694,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-flap-crossbody-694-tbf-ocn,Which scenery feels most calming to you?,A blooming spring garden 🌷,Boho Spirit,A field of wild roses under sunset 🌹,Boho Spirit,A misty meadow with dew,Leopard Luxe,A vintage botanical greenhouse 🌼,Winged Serenity
